name,category,author,publisher,pdf_url
Maths S1,Academics,REB,REB,https://drive.google.com/file/d/1nBrD_E5ank83JckCZl-kX71Uu4lTj6m3/preview
Maths S2,Academics,REB,REB,https://drive.google.com/file/d/14BAut7oFw4_6KB9QviHFCcOs9IAZW_1V/preview
Maths S3,Academics,REB,REB,https://drive.google.com/file/d/1NGIg3mmgzUID4emdElLEpJifKc2SKhvs/preview
Maths S4,Academics,REB,REB,https://drive.google.com/file/d/1WMdByoXKi0GgRHpy2IhLwnCowsQT075t/preview
Maths S5,Academics,REB,REB,https://drive.google.com/file/d/1x3_xPfHJS5LjjwNvIk03hI0mvufLjZyF/preview
Maths S6,Academics,REB,REB,https://drive.google.com/file/d/1k7lWXqwjXvietnJitrEe2ucyIwy_lwfo/preview

Chemistry S1,Academics,REB,REB,https://drive.google.com/file/d/1jhUvENmvWg1-sis0CR_eE36yRDlIVSmr/preview
Chemistry S2,Academics,REB,REB,https://drive.google.com/file/d/1_4cMnNPopgfzy9RiZu_tEzsBay2JMdzW/preview
Chemistry S3,Academics,REB,REB,https://drive.google.com/file/d/1LcaWmyJaNNOIC9PBUq0lDHsXanqfwfNd/preview
Chemistry S4,Academics,REB,REB,https://drive.google.com/file/d/1PcSlebdiAmE294ezpvAy1uQVfVZRbOga/preview
Chemistry S5,Academics,REB,REB,https://drive.google.com/file/d/1tjLrHnq_Th1WcttLqmpaLTPBtggI-tzC/preview
Chemistry S6,Academics,REB,REB,https://drive.google.com/file/d/1Z448mHE9gpkvODbGoqOp5ppEMBRuAw1U/preview

Computer Science S4,Academics,REB,REB,https://drive.google.com/file/d/1z3Q1MBP2PAhMweSO7AxPnN_CppO_kutr/preview
Computer Science S5,Academics,REB,REB,https://drive.google.com/file/d/1yOA-iS4rsKCzp-mXFd1c1DA86sNio2Ap/preview
Computer Science S6,Academics,REB,REB,https://drive.google.com/file/d/1Qz2PNi4t1g8B8dRsZtcIUmyoDyHMQtgG/preview

ICT S1,Academics,REB,REB,https://drive.google.com/file/d/1Gq6SphQvIFNYxfOdz4hKOc5Oeq9XNVwC/preview
ICT S2,Academics,REB,REB,https://drive.google.com/file/d/1XUPioGrZfl29gakftGPFHivlgE1iZhxx/preview
ICT S3,Academics,REB,REB,https://drive.google.com/file/d/1gJlvAlTypj_JXgliWv755jmPqQGk2o_Y/preview

Geography S1,Academics,REB,REB,https://drive.google.com/file/d/1G6ZX8WTehvYdGAPOXkooprXikk9zndos/preview
Geography S2,Academics,REB,REB,https://drive.google.com/file/d/1YQD_aJoKpmX3ELUQz70-bEGuQkZOtq2E/preview
Geography S3,Academics,REB,REB,https://drive.google.com/file/d/1ZVeyR2q_oeGwoTiQpw-IXFQM4dAWqCMU/preview

History S1,Academics,REB,REB,https://drive.google.com/file/d/1xbceUyTkxN0n0-lds5l1ID9AgB9PMigf/preview
History S2,Academics,REB,REB,https://drive.google.com/file/d/1p1PMu8rOR0dediQkzOODR8n_-2T1leQg/preview
History S3,Academics,REB,REB,https://drive.google.com/file/d/1Jc6mqoxPRelTnPBX5maL-ZQBcpQx7KLH/preview

Entrepreneurship S1,Academics,REB,REB,https://drive.google.com/file/d/1-tNtg2g5hysGdBdGI6WiOf61NKG8cezr/preview
Entrepreneurship S2,Academics,REB,REB,https://drive.google.com/file/d/1gxSvgEWoeV6Cru822qD2YSs2EgHGoHBQ/preview
Entrepreneurship S3,Academics,REB,REB,https://drive.google.com/file/d/1UWxxpSHIrMsN1Rf80MIZedjo0WDuJjaH/preview
Entrepreneurship S4,Academics,REB,REB,https://drive.google.com/file/d/1LBSsvtGAEb7HEZscqrg_nzEHT-a0ZF9w/preview
Entrepreneurship S5,Academics,REB,REB,https://drive.google.com/file/d/1qO1UMntWta9N9xCvE1YA0VKMHtqVCUdw/preview

English S1,Academics,REB,REB,https://drive.google.com/file/d/1-NNC-LSEAgmfDfPLz80tMiShHZAWn_Un/preview
English S4,Academics,REB,REB,https://drive.google.com/file/d/1zSs4aWI5uMohJTZH7Fz0LjveNxHnnIuC/preview
English S5,Academics,REB,REB,https://drive.google.com/file/d/1kwU-nsmVMkSn8qIRgF8No-oPSmud4d4B/preview
English S6,Academics,REB,REB,https://drive.google.com/file/d/1zrG92iSqkBti3LrBceS9cd-aY-yWnQKJ/preview

French,French,S1,https://drive.google.com/file/d/1uiK_VyMy4t3Xxsu3ZK6cNX_yi7nWjcr0/preview
French,French,S2,https://drive.google.com/file/d/1Dv5i3zqgZuBeShimYQhdVVRQgZ7PLuXl/preview
French,French,S3,https://drive.google.com/file/d/1YCajIUMdsLRCLiYe3L49s2-yg8vDK6R7/preview
French,French,S4,https://drive.google.com/file/d/1zr2DjD_NQYdoyS14H0lvJR87ZqWxGXJS/preview
French,French,S5,https://drive.google.com/file/d/1e2Ze6zsKtAhgdUOkzr299GWLwYQJGRX0/preview
French,French,S6,https://drive.google.com/file/d/1YCyd5PunheSUufK3MvDQ_eN2KZMEnnsa/preview

Kinyarwanda S2,Academics,REB,REB,https://drive.google.com/file/d/10hcVRcHmdPPM0qQ_AWdbtNVfUBSdg_kf/preview
Kinyarwanda S3,Academics,REB,REB,https://drive.google.com/file/d/1puxh0E2_waxSEp_0DlCjW3zRyEW5e4Yb/preview
Kinyarwanda S4,Academics,REB,REB,https://drive.google.com/file/d/1h0tu24uJuwSewYMPY9YjhGn-VNCDRfWC/preview
Kinyarwanda S5,Academics,REB,REB,https://drive.google.com/file/d/1nLLLOEVG1iZBQCQOfkR2YhTAZrVgdmAV/preview
Kinyarwanda S6,Academics,REB,REB,https://drive.google.com/file/d/108OdQGN8W4EwrTF8c5YvR65LPr18SlRq/preview

Kiswahili S2,Academics,REB,REB,https://drive.google.com/file/d/1uNoL4Nke0NPsnJjdSINhjyZ5517Hq_te/preview
Kiswahili S3,Academics,REB,REB,https://drive.google.com/file/d/12aD985NF8uKcpgCWm2auk_tsejtVrqeO/preview

Physics S1,Academics,REB,REB,https://drive.google.com/file/d/1jL-JIcVM3xXRC6365-XLjENaI0N1dmSK/preview
Physics S2,Academics,REB,REB,https://drive.google.com/file/d/12zlKtjKnHy-CvnhuaFaubkcSp-iSGVE5/preview
Physics S3,Academics,REB,REB,https://drive.google.com/file/d/15C9Z1Tal0GnXktjNvE__7tUFWxBguQla/preview
Physics S4,Academics,REB,REB,https://drive.google.com/file/d/1KBgo_u_Ni8n0D8HEpi_mu5KwxOoORbs1/preview
Physics S5,Academics,REB,REB,https://drive.google.com/file/d/13jUc9qsTOt73ktwkeHivzJ5LFJTEcAOe/preview
Physics S6,Academics,REB,REB,https://drive.google.com/file/d/1lU_iTSsJ89uL1Q7IH6GS-huC-C4uyHf5/preview
